tool_id,experiment_id,physical_experiment_order,recorded_signal_order,contact_id,channel,file_path,sampling_rate_hz,has_signal,has_official_vb,VB_um,valid_signal,missing_signal,target_only,incomplete_contact,valid_contact,exp77_four_contact_case,quality_flag
T01,75,10,8,3,axial,data/raw/segments/A75_p3.txt,50000,True,True,189.0,True,False,False,False,True,False,recorded
T01,75,10,8,4,axial,data/raw/segments/A75_p4.txt,50000,True,True,189.0,True,False,False,False,True,False,recorded
T01,75,10,8,5,axial,data/raw/segments/A75_p5.txt,50000,True,True,189.0,True,False,False,False,True,False,recorded
T01,75,10,8,6,axial,data/raw/segments/A75_p6.txt,50000,True,True,189.0,True,False,False,False,True,False,recorded
T01,76,11,9,1,axial,data/raw/segments/A76_p1.txt,50000,True,True,200.0,True,False,False,False,True,False,recorded
T01,76,11,9,2,axial,data/raw/segments/A76_p2.txt,50000,True,True,200.0,True,False,False,False,True,False,recorded
T01,76,11,9,3,axial,data/raw/segments/A76_p3.txt,50000,True,True,200.0,True,False,False,False,True,False,recorded
T01,76,11,9,4,axial,data/raw/segments/A76_p4.txt,50000,True,True,200.0,True,False,False,False,True,False,recorded
T01,76,11,9,5,axial,data/raw/segments/A76_p5.txt,50000,True,True,200.0,True,False,False,False,True,False,recorded
T01,76,11,9,6,axial,data/raw/segments/A76_p6.txt,50000,True,True,200.0,True,False,False,False,True,False,recorded
T01,77,12,10,1,axial,data/raw/segments/A77_p1.txt,50000,True,True,212.0,True,False,False,False,True,True,recorded
T01,77,12,10,2,axial,data/raw/segments/A77_p2.txt,50000,True,True,212.0,True,False,False,False,True,True,recorded
T01,77,12,10,3,axial,data/raw/segments/A77_p3.txt,50000,True,True,212.0,True,False,False,False,True,True,recorded
T01,77,12,10,4,axial,data/raw/segments/A77_p4.txt,50000,True,True,212.0,True,False,False,False,True,True,recorded
T01,66,1,1,1,rotational,data/raw/segments/R66_p1.txt,50000,True,True,103.0,True,False,False,False,True,False,recorded
T01,66,1,1,2,rotational,data/raw/segments/R66_p2.txt,50000,True,True,103.0,True,False,False,False,True,False,recorded
T01,66,1,1,3,rotational,data/raw/segments/R66_p3.txt,50000,True,True,103.0,True,False,False,False,True,False,recorded
T01,66,1,1,4,rotational,data/raw/segments/R66_p4.txt,50000,True,True,103.0,True,False,False,False,True,False,recorded
T01,66,1,1,5,rotational,data/raw/segments/R66_p5.txt,50000,True,True,103.0,True,False,False,False,True,False,recorded
T01,66,1,1,6,rotational,data/raw/segments/R66_p6.txt,50000,True,True,103.0,True,False,False,False,True,False,recorded
T01,67,2,2,1,rotational,data/raw/segments/R67_p1.txt,50000,True,True,108.0,True,False,False,False,True,False,recorded
T01,67,2,2,2,rotational,data/raw/segments/R67_p2.txt,50000,True,True,108.0,True,False,False,False,True,False,recorded
T01,67,2,2,3,rotational,data/raw/segments/R67_p3.txt,50000,True,True,108.0,True,False,False,False,True,False,recorded
T01,67,2,2,4,rotational,data/raw/segments/R67_p4.txt,50000,True,True,108.0,True,False,False,False,True,False,recorded
T01,67,2,2,5,rotational,data/raw/segments/R67_p5.txt,50000,True,True,108.0,True,False,False,False,True,False,recorded
T01,67,2,2,6,rotational,data/raw/segments/R67_p6.txt,50000,True,True,108.0,True,False,False,False,True,False,recorded
T01,68,3,3,1,rotational,data/raw/segments/R68_p1.txt,50000,True,True,121.0,True,False,False,False,True,False,recorded
T01,68,3,3,2,rotational,data/raw/segments/R68_p2.txt,50000,True,True,121.0,True,False,False,False,True,False,recorded
T01,68,3,3,3,rotational,data/raw/segments/R68_p3.txt,50000,True,True,121.0,True,False,False,False,True,False,recorded
T01,68,3,3,4,rotational,data/raw/segments/R68_p4.txt,50000,True,True,121.0,True,False,False,False,True,False,recorded
T01,68,3,3,5,rotational,data/raw/segments/R68_p5.txt,50000,True,True,121.0,True,False,False,False,True,False,recorded
T01,68,3,3,6,rotational,data/raw/segments/R68_p6.txt,50000,True,True,121.0,True,False,False,False,True,False,recorded
T01,69,4,4,1,rotational,data/raw/segments/R69_p1.txt,50000,True,True,136.0,True,False,False,False,True,False,recorded
T01,69,4,4,2,rotational,data/raw/segments/R69_p2.txt,50000,True,True,136.0,True,False,False,False,True,False,recorded
T01,69,4,4,3,rotational,data/raw/segments/R69_p3.txt,50000,True,True,136.0,True,False,False,False,True,False,recorded
T01,69,4,4,4,rotational,data/raw/segments/R69_p4.txt,50000,True,True,136.0,True,False,False,False,True,False,recorded
T01,69,4,4,5,rotational,data/raw/segments/R69_p5.txt,50000,True,True,136.0,True,False,False,False,True,False,recorded
T01,69,4,4,6,rotational,data/raw/segments/R69_p6.txt,50000,True,True,136.0,True,False,False,False,True,False,recorded
T01,70,5,5,1,rotational,data/raw/segments/R70_p1.txt,50000,True,True,148.0,True,False,False,False,True,False,recorded
T01,70,5,5,2,rotational,data/raw/segments/R70_p2.txt,50000,True,True,148.0,True,False,False,False,True,False,recorded
T01,70,5,5,3,rotational,data/raw/segments/R70_p3.txt,50000,True,True,148.0,True,False,False,False,True,False,recorded
T01,70,5,5,4,rotational,data/raw/segments/R70_p4.txt,50000,True,True,148.0,True,False,False,False,True,False,recorded
T01,70,5,5,5,rotational,data/raw/segments/R70_p5.txt,50000,True,True,148.0,True,False,False,False,True,False,recorded
T01,70,5,5,6,rotational,data/raw/segments/R70_p6.txt,50000,True,True,148.0,True,False,False,False,True,False,recorded
T01,73,8,6,1,rotational,data/raw/segments/R73_p1.txt,50000,True,True,176.0,True,False,False,False,True,False,recorded
T01,73,8,6,2,rotational,data/raw/segments/R73_p2.txt,50000,True,True,176.0,True,False,False,False,True,False,recorded
T01,73,8,6,3,rotational,data/raw/segments/R73_p3.txt,50000,True,True,176.0,True,False,False,False,True,False,recorded
T01,73,8,6,4,rotational,data/raw/segments/R73_p4.txt,50000,True,True,176.0,True,False,False,False,True,False,recorded
T01,73,8,6,5,rotational,data/raw/segments/R73_p5.txt,50000,True,True,176.0,True,False,False,False,True,False,recorded
T01,73,8,6,6,rotational,data/raw/segments/R73_p6.txt,50000,True,True,176.0,True,False,False,False,True,False,recorded
T01,74,9,7,1,rotational,data/raw/segments/R74_p1.txt,50000,True,True,181.0,True,False,False,False,True,False,recorded
T01,74,9,7,2,rotational,data/raw/segments/R74_p2.txt,50000,True,True,181.0,True,False,False,False,True,False,recorded
T01,74,9,7,3,rotational,data/raw/segments/R74_p3.txt,50000,True,True,181.0,True,False,False,False,True,False,recorded
T01,74,9,7,4,rotational,data/raw/segments/R74_p4.txt,50000,True,True,181.0,True,False,False,False,True,False,recorded
T01,74,9,7,5,rotational,data/raw/segments/R74_p5.txt,50000,True,True,181.0,True,False,False,False,True,False,recorded
T01,74,9,7,6,rotational,data/raw/segments/R74_p6.txt,50000,True,True,181.0,True,False,False,False,True,False,recorded
T01,75,10,8,1,rotational,data/raw/segments/R75_p1.txt,50000,True,True,189.0,True,False,False,False,True,False,recorded
T01,75,10,8,2,rotational,data/raw/segments/R75_p2.txt,50000,True,True,189.0,True,False,False,False,True,False,recorded
T01,75,10,8,3,rotational,data/raw/segments/R75_p3.txt,50000,True,True,189.0,True,False,False,False,True,False,recorded
T01,75,10,8,4,rotational,data/raw/segments/R75_p4.txt,50000,True,True,189.0,True,False,False,False,True,False,recorded
T01,75,10,8,5,rotational,data/raw/segments/R75_p5.txt,50000,True,True,189.0,True,False,False,False,True,False,recorded
T01,75,10,8,6,rotational,data/raw/segments/R75_p6.txt,50000,True,True,189.0,True,False,False,False,True,False,recorded
T01,76,11,9,1,rotational,data/raw/segments/R76_p1.txt,50000,True,True,200.0,True,False,False,False,True,False,recorded
T01,76,11,9,2,rotational,data/raw/segments/R76_p2.txt,50000,True,True,200.0,True,False,False,False,True,False,recorded
T01,76,11,9,3,rotational,data/raw/segments/R76_p3.txt,50000,True,True,200.0,True,False,False,False,True,False,recorded
T01,76,11,9,4,rotational,data/raw/segments/R76_p4.txt,50000,True,True,200.0,True,False,False,False,True,False,recorded
T01,76,11,9,5,rotational,data/raw/segments/R76_p5.txt,50000,True,True,200.0,True,False,False,False,True,False,recorded
T01,76,11,9,6,rotational,data/raw/segments/R76_p6.txt,50000,True,True,200.0,True,False,False,False,True,False,recorded
T01,77,12,10,1,rotational,data/raw/segments/R77_p1.txt,50000,True,True,212.0,True,False,False,False,True,True,recorded
T01,77,12,10,2,rotational,data/raw/segments/R77_p2.txt,50000,True,True,212.0,True,False,False,False,True,True,recorded
T01,77,12,10,3,rotational,data/raw/segments/R77_p3.txt,50000,True,True,212.0,True,False,False,False,True,True,recorded
T01,77,12,10,4,rotational,data/raw/segments/R77_p4.txt,50000,True,True,212.0,True,False,False,False,True,True,recorded
T01,77,12,10,5,axial,,50000,False,True,212.0,False,True,False,True,False,True,only_4_segmentable_peaks
T01,77,12,10,6,axial,,50000,False,True,212.0,False,True,False,True,False,True,only_4_segmentable_peaks
T01,77,12,10,5,rotational,,50000,False,True,212.0,False,True,False,True,False,True,only_4_segmentable_peaks
T01,77,12,10,6,rotational,,50000,False,True,212.0,False,True,False,True,False,True,only_4_segmentable_peaks
T01,71,6,,,,,,False,True,159.0,False,True,True,False,False,False,target_only_missing_signal
T01,72,7,,,,,,False,True,170.0,False,True,True,False,False,False,target_only_missing_signal
